STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Meghalaya,"West Khasi Hills",PMGSY-II,16,1,16,1,0,0,82.75,48.48534,82.75,45.6327,0
Meghalaya,"West Khasi Hills",PMGSY-III,22,6,1,0,21,6,195.116,238.92382,32.51,19.3471,162.606
Mizoram,Champhai,PMGSY-III,4,0,0,0,4,0,94.64,103.35239,0,0,94.64
Mizoram,Lawngtlai,PMGSY-III,1,0,0,0,1,0,29.1,43.655,0,0,29.1
Mizoram,Lunglei,PMGSY-II,1,0,1,0,0,0,30.5,40.8027,30.2,38.9444,0
Mizoram,Mamit,PMGSY-II,1,0,1,0,0,0,9.75,9.919,9.75,10.029,0
Mizoram,Serchhip,PMGSY-I,31,0,31,0,0,0,459.09,232.1615,457.55,223.6491,0
Nagaland,Dimapur,PMGSY-II,1,0,1,0,0,0,12.7,11.1485,12.7,11.1208,0
Nagaland,Kohima,PMGSY-II,1,0,1,0,0,0,19.5,16.3006,19.5,16.3005,0
Nagaland,Mon,PMGSY-I,36,0,35,0,1,0,313.72,57.8332,306.22,51.7305,7.5
Nagaland,Peren,PMGSY-II,1,1,1,1,0,0,17,19.1551,17,18.5634,0
Nagaland,Phek,PMGSY-III,5,0,0,0,5,0,50.711,51.27989,0,0,50.711
Nagaland,Tseminyu,PMGSY-III,1,0,0,0,1,0,6,4.7399,0,0,6
Odisha,Bargarh,PMGSY-III,49,10,44,8,5,2,366.35,246.97481,333.371,221.7634,23.589
Odisha,Bhadrak,PMGSY-II,15,0,15,0,0,0,83.97,38.5552,83.154,36.2075,0
Odisha,Deogarh,PM-JANMAN,4,0,0,0,4,0,24.67,22.0606,0,0,24.67
Odisha,Jagatsinghpur,PMGSY-I,268,0,268,0,0,0,1047.628,452.3774,1030.216,437.243,0
Odisha,Kandhamal,PMGSY-I,395,30,395,30,0,0,1735.042,710.59794,1659.08,737.4596,0
Odisha,Keonjhar,PM-JANMAN,4,0,0,0,4,0,6.43,5.6012,0,0,6.43
Odisha,Khurda,PMGSY-II,18,0,18,0,0,0,117.3,55.0978,120.067,64.3227,0
Odisha,Khurda,PMGSY-III,48,2,46,1,2,1,272.285,174.18535,262.474,160.8954,4.291
Odisha,Koraput,PMGSY-I,904,40,901,40,3,0,3787.363,1917.56035,3635.624,1964.5065,2.707
Odisha,Malkangiri,PMGSY-II,12,0,12,0,0,0,83.4,36.9716,83.045,30.555,0
Odisha,Nawarangpur,PMGSY-I,600,8,600,8,0,0,2492.194,866.7966,2429.296,852.3055,0
Odisha,Rayagada,PM-JANMAN,15,0,0,0,15,0,42.17,40.5036,0,0,42.17
Odisha,Sundargarh,PMGSY-II,22,4,22,4,0,0,173.05,90.8182,172.623,79.3507,0
Odisha,Sundargarh,PMGSY-III,72,7,69,6,3,1,495.054,308.58704,469.264,264.0566,12.728
Punjab,Amritsar,PMGSY-III,33,7,10,0,23,7,299.161,286.37027,149.75,104.9246,149.411
Punjab,Barnala,PMGSY-II,3,1,3,1,0,0,40.45,28.6027,40.45,22.5468,0
Punjab,Barnala,PMGSY-III,9,1,8,0,1,1,115.59,101.43958,99.104,68.9018,16.17
Punjab,Bathinda,PMGSY-I,27,0,27,0,0,0,194.34,65.6494,194.34,56.5387,0
Punjab,Bathinda,PMGSY-III,17,6,5,0,12,6,155.735,135.95946,57.415,54.2245,98.32
Punjab,"Fatehgarh Sahib",PMGSY-I,21,0,21,0,0,0,197.24,75.87,197.24,72.714,0
Punjab,Fazilka,PMGSY-II,10,1,10,1,0,0,96.7,66.24525,96.6,62.361,0
Punjab,Firozpur,PMGSY-III,6,0,3,0,3,0,62.94,62.01797,28.93,31.6482,34.01
Punjab,Hoshiarpur,PMGSY-II,2,0,2,0,0,0,25.6,18.2157,25.6,13.5352,0
Punjab,Jalandhar,PMGSY-III,17,1,9,0,8,1,184.92,154.06062,98.3,47.0329,86.44
Punjab,Kapurthala,PMGSY-I,43,0,43,0,0,0,246.385,85.3898,246.385,66.1599,0
Punjab,Ludhiana,PMGSY-I,66,0,66,0,0,0,531.994,251.5569,531.995,241.9727,0
Punjab,Mansa,PMGSY-I,49,0,49,0,0,0,351.07,149.1889,349.727,148.1373,0
Punjab,Mansa,PMGSY-II,14,0,14,0,0,0,173.4,109.1393,173.3,100.1623,0
Punjab,Nawashahar,PMGSY-I,33,0,33,0,0,0,170.53,56.5777,170.53,53.6546,0
Punjab,Nawashahar,PMGSY-III,6,1,2,0,4,1,40.495,39.94263,9.69,7.2901,30.805
Punjab,Pathankot,PMGSY-I,25,0,25,0,0,0,109.035,50.9354,108.63,52.1967,0
Punjab,"Tarn Taran",PMGSY-I,72,0,72,0,0,0,445.69,174.2062,445.19,162.7579,0
Rajasthan,Alwar,PMGSY-I,315,0,315,0,0,0,928.18,199.1915,912.885,176.5123,0
Rajasthan,Banswara,PMGSY-II,14,1,14,1,0,0,112.125,48.7737,112.35,32.2192,0
Rajasthan,Baran,PMGSY-II,11,0,11,0,0,0,99.745,45.27195,99.799,40.3299,0
Rajasthan,Baran,PMGSY-III,23,0,21,0,2,0,182.164,96.8485,182.562,73.5931,0
Rajasthan,Baran,PM-JANMAN,38,0,0,0,38,0,98.687,68.8659,0.45,0,98.237
Rajasthan,Bhilwara,PMGSY-II,11,0,11,0,0,0,91.55,25.5779,91.55,20.1933,0
Rajasthan,Bikaner,PMGSY-III,26,0,25,0,1,0,278.86,122.69569,263.21,89.3664,15
Rajasthan,Bundi,PMGSY-III,23,5,23,2,0,3,177.383,130.0819,171.57,85.7818,0
Rajasthan,Chittaurgarh,PMGSY-I,299,0,299,0,0,0,1303.87,249.648,1273.47,224.7355,0
Rajasthan,Churu,PMGSY-III,23,0,22,0,1,0,222.74,128.83,219.97,94.4148,4.7
Rajasthan,Deeg,PMGSY-I,166,0,166,0,0,0,571.39,109.0053,553.75,103.8543,0
Rajasthan,Dholpur,PMGSY-III,25,0,25,0,0,0,241.186,119.52563,240.89,113.1364,0
Rajasthan,Dungarpur,PMGSY-II,9,0,9,0,0,0,73,47.6744,73,29.4152,0
Rajasthan,Dungarpur,PMGSY-III,25,2,25,1,0,1,267.22,177.40371,267.22,122.2734,0
Rajasthan,Gangapurcity,PMGSY-I,188,3,188,3,0,0,687.88,145.3342,648.165,133.4189,0
Rajasthan,Hanumangarh,PMGSY-I,134,0,134,0,0,0,903.16,196.4427,867.987,167.7036,0
Rajasthan,"Jaipur Gramin",PMGSY-III,36,0,34,0,2,0,376.97,213.1205,365.403,151.5646,3.01
Rajasthan,Jhunjhunun,PMGSY-II,13,0,13,0,0,0,84,53.1762,84.7,39.9326,0
Rajasthan,Jhunjhunun,PMGSY-III,22,0,22,0,0,0,174.45,99.3892,174.45,67.5535,0
Rajasthan,"Jodhpur Gramin",PMGSY-I,596,0,596,0,0,0,2374.8,402.2906,2321.837,327.5115,0
Rajasthan,Kekri,PMGSY-II,3,0,3,0,0,0,28.564,10.1989,28.564,9.7062,0
Rajasthan,"Khairthal Tijara",PMGSY-I,181,0,181,0,0,0,455.68,80.9631,437.045,72.8551,0
Rajasthan,"Khairthal Tijara",PMGSY-II,8,0,8,0,0,0,59.826,19.0538,59.826,16.5637,0
Rajasthan,"Kotputli Behror",PMGSY-III,17,0,15,0,2,0,130.193,80.36925,125.65,57.2372,3.693
Rajasthan,Nagaur,PMGSY-I,496,0,496,0,0,0,2278.645,366.0061,2191.9,313.3039,0
Rajasthan,Nagaur,PMGSY-III,26,0,21,0,5,0,355.7,215.019,341.94,124.5482,13.5
Rajasthan,"Neem Ka Thana",PMGSY-III,17,0,17,0,0,0,120.425,78.5513,119.685,53.2701,0
Rajasthan,Pali,PMGSY-III,32,9,32,3,0,6,324.44,226.93041,322.45,169.2566,0
Rajasthan,Phalodi,PMGSY-II,4,0,4,0,0,0,45.3,14.9643,45.3,10.876,0
Rajasthan,Phalodi,PMGSY-III,15,0,15,0,0,0,181.2,97.2987,181.2,73.8525,0
Rajasthan,Rajsamand,PMGSY-I,369,0,369,0,0,0,1338.56,306.3419,1347.99,270.2181,0
Rajasthan,Sanchor,PMGSY-I,347,0,347,0,0,0,1588.655,321.1939,1509.77,284.6994,0
Rajasthan,Sanchor,PMGSY-II,5,0,5,0,0,0,56.1,18.4422,56.1,13.8423,0
Rajasthan,Sanchor,PMGSY-III,9,0,9,0,0,0,57.14,28.1834,56.74,18.515,0
Rajasthan,Sawaimadhopur,PMGSY-III,20,1,20,1,0,0,147.771,82.7817,143.732,69.7108,0
Rajasthan,Shahpura,PMGSY-I,251,0,251,0,0,0,910.77,168.921,871.115,154.7538,0
Rajasthan,Shahpura,PMGSY-II,6,0,6,0,0,0,55.725,27.10303,55.725,23.0538,0
Rajasthan,Sikar,PMGSY-I,367,0,367,0,0,0,1382.74,267.6835,1338.965,229.4847,0
Rajasthan,Sirohi,PMGSY-II,11,0,11,0,0,0,69.85,23.6464,69.85,18.8877,0
Rajasthan,Sirohi,PMGSY-III,11,4,11,4,0,0,102.49,96.79097,100.49,75.7178,0
Rajasthan,"Sri Ganganagar",PMGSY-III,9,0,8,0,1,0,91.625,50.494,81.025,26.8257,10.6
Rajasthan,Udaipur,PMGSY-II,13,0,13,0,0,0,109.35,46.4917,109.5,30.1247,0
Rajasthan,Udaipur,PMGSY-III,44,3,42,1,2,2,427.425,291.12291,414.865,193.1447,10
Sikkim,East,PMGSY-II,3,0,3,0,0,0,7.8,6.7633,6.92,5.5476,0
Sikkim,Soreng,PMGSY-III,11,4,0,0,11,4,73.35,83.49577,1.2,9.3093,72.15
Sikkim,South,PMGSY-II,10,0,10,0,0,0,41.782,36.0774,41.78,33.0403,0
"Tamil Nadu",Chengalpattu,PMGSY-I,197,0,197,0,0,0,403.113,90.8977,400.157,-16.8283,0
"Tamil Nadu",Dindigul,PMGSY-III,60,2,48,2,12,0,243.94,142.40797,228.22,125.0635,12.065
"Tamil Nadu",Erode,PMGSY-III,43,0,29,0,14,0,167.667,85.5131,131.607,64.6937,35.577
"Tamil Nadu",Kanchipuram,PMGSY-I,161,1,161,1,0,0,357.335,86.51455,357.685,77.6514,0
"Tamil Nadu",Kanchipuram,PMGSY-III,12,0,6,0,6,0,37.838,21.92361,19.151,9.454,18.687
"Tamil Nadu",Krishnagiri,PMGSY-I,210,7,210,7,0,0,443.188,139.18744,438.612,119.6094,0
"Tamil Nadu",Madurai,PMGSY-III,18,0,15,0,3,0,62.41,39.60853,49.09,32.6161,13.165
"Tamil Nadu",Nagapattinam,PMGSY-III,38,5,33,3,5,2,156.203,153.38103,130.158,161.3573,26.048
"Tamil Nadu",Namakkal,PMGSY-I,227,0,227,0,0,0,411.066,134.62504,408.816,110.0604,0
"Tamil Nadu",Perambalur,PMGSY-I,113,4,113,4,0,0,275.685,101.84375,275.395,92.0605,0
"Tamil Nadu",Pudukkottai,PMGSY-I,317,2,317,2,0,0,734.32,217.13178,734.418,175.4299,0
"Tamil Nadu",Ramanathapuram,PMGSY-III,64,4,46,0,18,4,282.344,196.38698,197.323,125.8053,80.1
"Tamil Nadu",Salem,PMGSY-II,6,0,6,0,0,0,21.955,9.72781,21.955,11.008,0
"Tamil Nadu",Sivagangai,PMGSY-III,120,4,77,2,43,2,597.397,393.79714,396.962,259.0164,198.658
"Tamil Nadu","The Nilgiris",PMGSY-III,17,0,2,0,15,0,68.005,70.5887,28.462,16.9444,39.543
"Tamil Nadu",Tiruppur,PMGSY-I,285,2,285,2,0,0,627.378,136.4948,623.583,27.9211,0
"Tamil Nadu",Tiruppur,PMGSY-III,83,1,46,0,37,1,352.71,191.14128,313.464,116.096,39.24
"Tamil Nadu",Vellore,PMGSY-I,117,0,117,0,0,0,349.742,74.25392,349.683,61.4774,0
"Tamil Nadu",Villupuram,PMGSY-I,322,3,322,3,0,0,663.065,186.3543,652.911,178.5364,0
"Tamil Nadu",Villupuram,PMGSY-III,36,1,28,1,8,0,122.502,71.82422,95.79,54.203,26.727
"Tamil Nadu",Virudhunagar,PMGSY-II,36,0,36,0,0,0,136.746,47.95317,136.746,49.144,0
Telangana,Adilabad,PM-JANMAN,15,0,0,0,15,0,43.875,44.28494,0,0,43.875
Telangana,Jagitial,PMGSY-III,12,5,2,0,10,5,65.539,56.98604,22.66,24.317,42.664
Telangana,"Komrambheem Asifabad",PMGSY-III,6,2,4,2,2,0,41.09,25.49702,27.689,9.8604,12.3
Telangana,Mahaboobnagar,PMGSY-III,11,9,4,6,7,3,69.748,70.60881,40.746,46.0658,27.921
Telangana,Mancherial,RCPLWEA,21,21,3,6,18,15,144.886,220.6134,69.664,96.1486,74.872
Telangana,Nagarkurnool,PMGSY-I,47,3,47,3,0,0,246.22,53.8064,240.37,95.9604,0
Telangana,Nirmal,PMGSY-I,74,13,70,12,4,1,272.87,92.9709,255.516,124.5224,14.034
Telangana,Nizamabad,PMGSY-I,194,10,194,10,0,0,444.95,67.6443,446.98,133.9151,0
Telangana,Peddapalli,PMGSY-I,63,0,63,0,0,0,159.708,22.7232,157.155,40.031,0
Telangana,"Ranga Reddy",PMGSY-I,108,22,108,22,0,0,437.925,100.8337,430.273,185.4617,0
Telangana,Sangareddy,PMGSY-II,5,0,5,0,0,0,35.75,22.3813,34.782,18.0143,0
Telangana,Suryapet,PMGSY-II,6,0,6,0,0,0,39.72,19.7316,39.72,13.9825,0
Telangana,Suryapet,PMGSY-III,17,2,12,2,5,0,97.085,56.5596,75.199,40.236,20.08
Telangana,Warangal,PMGSY-II,4,1,4,1,0,0,27.51,16.3862,23.9,13.4793,0
Telangana,Warangal,PMGSY-III,16,7,6,0,10,7,104.89,104.21227,82.46,66.3764,22.018
Tripura,Dhalai,PMGSY-III,12,3,0,0,12,3,106.886,104.16121,0,0,106.886
Tripura,Khowai,PM-JANMAN,2,0,0,0,2,0,4.133,3.87799,0,0,4.133
Tripura,"South Tripura",PMGSY-I,281,15,281,14,0,1,1007.773,671.5744,992.179,648.2745,0
Tripura,"South Tripura",PMGSY-III,14,0,5,0,9,0,144.105,138.01054,47.628,38.7639,94.13
Tripura,Unakoti,PM-JANMAN,4,0,0,0,4,0,14.021,13.26158,0,0,14.021
Tripura,"West Tripura",PMGSY-III,12,0,0,0,12,0,88.035,87.10655,22.123,30.2029,65.912
"Uttar Pradesh",Aligarh,PMGSY-II,11,0,11,0,0,0,105.85,54.49746,105.85,48.1263,0
"Uttar Pradesh",Aligarh,PMGSY-III,38,0,38,0,0,0,335.29,229.302,334.62,171.0682,0
"Uttar Pradesh",Ambedkarnagar,PMGSY-I,204,0,204,0,0,0,584.768,179.7895,572.209,168.0181,0
"Uttar Pradesh",Auraiya,PMGSY-III,10,0,8,0,2,0,62.285,47.9342,53.73,31.2845,8.735
"Uttar Pradesh",Azamgarh,PMGSY-III,81,0,58,0,23,0,561.83,449.77695,487.675,298.9764,66.69
"Uttar Pradesh",Badaun,PMGSY-II,9,0,9,0,0,0,70.05,35.45431,69.43,29.5615,0
"Uttar Pradesh",Badaun,PMGSY-III,22,0,22,0,0,0,143.705,96.9952,141.583,79.4437,0
"Uttar Pradesh",Bahraich,PMGSY-III,43,0,40,0,3,0,354.029,289.68228,336.225,266.3644,15.015
"Uttar Pradesh",Ballia,PMGSY-III,32,0,32,0,0,0,233.075,146.6125,233.045,115.3529,0
"Uttar Pradesh",Barabanki,PMGSY-III,57,0,57,0,0,0,431.745,406.3758,425.965,348.9942,0
"Uttar Pradesh",Basti,PMGSY-III,34,0,34,0,0,0,245.1,169.9057,244.094,147.4466,0
"Uttar Pradesh",Bijnor,PMGSY-III,19,0,19,0,0,0,135.038,90.1265,135.038,74.9555,0
"Uttar Pradesh",Bulandshahr,PMGSY-III,42,0,42,0,0,0,296.13,183.67973,287.691,148.2113,0
"Uttar Pradesh",Chitrakoot,PMGSY-I,108,0,108,0,0,0,410.745,120.0661,403.403,126.7396,0
"Uttar Pradesh",Chitrakoot,PMGSY-II,14,0,14,0,0,0,101.7,55.808,101.699,51.8173,0
"Uttar Pradesh",Deoria,PMGSY-I,173,0,173,0,0,0,578.835,182.1108,572.889,162.2231,0
"Uttar Pradesh",Deoria,PMGSY-II,14,0,14,0,0,0,95.115,60.33697,94.88,54.375,0
"Uttar Pradesh",Fatehpur,PMGSY-II,11,0,11,0,0,0,101.975,86.3941,101.465,78.3542,0
"Uttar Pradesh",Firozabad,PMGSY-I,233,0,233,0,0,0,630.325,145.113,621.425,132.606,0
"Uttar Pradesh","G.B. Nagar",PMGSY-I,179,0,179,0,0,0,429.785,98.8914,412.065,89.5028,0
"Uttar Pradesh",Ghaziabad,PMGSY-I,154,0,154,0,0,0,385.4,79.6784,372.599,75.601,0
"Uttar Pradesh",Gorakhpur,PMGSY-I,318,0,318,0,0,0,921.37,332.4885,908.531,304.686,0
"Uttar Pradesh",Hathras,PMGSY-III,20,0,20,0,0,0,180.19,150.75601,177.344,115.2448,0
"Uttar Pradesh",J.B.F.Nagar,PMGSY-III,8,0,8,0,0,0,70.35,48.99476,68.695,37.7512,0
"Uttar Pradesh",Jalaun,PMGSY-II,12,0,12,0,0,0,113.8,72.8806,114.1,62.0542,0
"Uttar Pradesh","Kanpur Dehat",PMGSY-II,11,0,11,0,0,0,111.745,99.67319,110.785,78.3722,0
"Uttar Pradesh",Lakhimpur-Kherii,PMGSY-II,13,0,13,0,0,0,93.825,59.505,92.27,52.7965,0
"Uttar Pradesh",Lalitpur,PMGSY-I,139,0,139,0,0,0,603.97,176.035,603.114,181.2625,0
"Uttar Pradesh",Lalitpur,PMGSY-III,18,0,15,0,3,0,157.17,132.22589,153.212,95.5016,3.82
"Uttar Pradesh",Lucknow,PMGSY-III,20,0,20,0,0,0,155.615,121.82107,154.996,101.1188,0
"Uttar Pradesh",Mahoba,PMGSY-I,94,0,94,0,0,0,418.29,105.789,414.5,103.4036,0
"Uttar Pradesh",Moradabad,PMGSY-III,24,0,24,0,0,0,147.805,89.64673,143.842,69.7287,0
"Uttar Pradesh",Pilibhit,PMGSY-III,31,1,31,1,0,0,251.34,158.50596,248.035,131.4978,0
"Uttar Pradesh",Pratapgarh,PMGSY-III,70,0,69,0,1,0,485.09,430.01389,477.483,363.0114,6.07
"Uttar Pradesh","Rae Bareli",PMGSY-II,12,0,12,0,0,0,116.9,87.66288,116,75.5848,0
"Uttar Pradesh","Rae Bareli",PMGSY-III,67,0,56,0,11,0,493.58,414.98825,428.119,284.8572,61.525
"Uttar Pradesh","S.K. Nagar",PMGSY-III,23,0,23,0,0,0,152.4,137.38049,151.35,121.3909,0
"Uttar Pradesh",Saharanpur,PMGSY-II,11,0,11,0,0,0,104.1,46.7217,101.22,41.432,0
"Uttar Pradesh",Saharanpur,PMGSY-III,38,0,36,0,2,0,280.52,167.3443,269.839,134.8604,2.225
"Uttar Pradesh",Sambhal,PMGSY-I,254,0,254,0,0,0,611.919,125.3113,593.927,117.1451,0
"Uttar Pradesh",Shahjahanpur,PMGSY-I,296,0,296,0,0,0,987.46,353.0337,961.85,347.2636,0
"Uttar Pradesh",Shahjahanpur,PMGSY-III,52,0,49,0,3,0,373.55,272.22879,365.041,229.0402,5.03
"Uttar Pradesh",Shamli,PMGSY-II,10,0,10,0,0,0,105.3,50.71296,105.3,46.6157,0
"Uttar Pradesh",Siddharathnagar,PMGSY-III,43,0,38,0,5,0,313.788,270.3367,283.303,193.2503,29.9
"Uttar Pradesh",Sitapur,PMGSY-I,384,0,384,0,0,0,992.655,327.422,957.959,301.1009,0
"Uttar Pradesh",Sonebhadra,PMGSY-I,170,0,170,0,0,0,896.93,257.4752,870.422,230.5315,0
"Uttar Pradesh",Sonebhadra,PMGSY-II,12,0,12,0,0,0,101.6,43.24026,99.45,41.1159,0
"Uttar Pradesh",Sonebhadra,PMGSY-III,28,0,26,0,2,0,237.15,177.62324,221.9,133.3326,14.75
Uttarakhand,Chamoli,PMGSY-III,20,4,3,0,17,4,220.664,211.85847,130.729,97.9243,89.935
Uttarakhand,Dehradun,PMGSY-III,12,0,4,0,8,0,114.045,93.08242,47.705,25.6159,66.34
Uttarakhand,Pauri,PMGSY-II,16,0,16,0,0,0,136.372,95.2061,135.947,98.1275,0
Uttarakhand,Uttarkashi,PMGSY-I,177,26,157,24,20,2,1360.523,700.28381,1283.088,638.9296,57.325
Uttarakhand,Uttarkashi,PMGSY-III,25,0,0,0,25,0,238.812,206.9279,53.31,17.8514,185.502
"West Bengal",Darjeeling,PMGSY-III,14,0,2,0,12,0,108.784,85.9858,8.297,8.4862,100.487
"West Bengal",Jalpaiguri,PMGSY-II,16,0,16,0,0,0,95.62,78.00579,93.74,67.0303,0
"West Bengal",Kalimpong,PMGSY-I,80,2,80,2,0,0,432.841,290.8624,427.362,285.1607,0
"West Bengal",Murshidabad,PMGSY-II,14,0,14,0,0,0,162.946,105.63891,162.849,99.9851,0
"West Bengal",Nadia,PMGSY-II,14,0,14,0,0,0,132.955,121.22049,132.693,97.3562,0
"West Bengal","Paschim Burdwan",PMGSY-I,66,1,66,1,0,0,273.207,104.43723,257.604,89.0336,0
"West Bengal","South 24-Parganas",PMGSY-I,312,0,311,0,1,0,1603.63,838.973,1559.633,804.1278,1.2
"West Bengal","South 24-Parganas",PMGSY-II,29,0,29,0,0,0,171.764,148.82442,171.515,138.2227,0
"Andaman And Nicobar","South Andaman",PMGSY-I,32,0,32,0,0,0,40.146,18.5375,39.287,11.6894,0
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-II,2,0,2,0,0,0,14,8.9385,12.395,6.4294,0
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-III,3,1,2,0,1,1,29.1,15.62,18.73,5.5321,11.2
"Andhra Pradesh","Alluri Sitharama Raju",PM-JANMAN,167,0,0,0,167,0,483.64,442.64179,0,0,483.64
"Andhra Pradesh",Anakapalli,PMGSY-I,195,8,195,8,0,0,483.715,158.0745,465.672,140.341,0
"Andhra Pradesh",Annamayya,PMGSY-II,6,0,6,0,0,0,42.6,19.726,39.315,16.685,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-III,11,1,10,1,1,0,76.433,48.80619,74.431,41.4018,-0.24
"Andhra Pradesh","East Godavari",PMGSY-II,6,0,6,0,0,0,42.9,18.4807,41.22,15.4279,0
"Andhra Pradesh","East Godavari",PMGSY-III,9,0,6,0,3,0,55.732,28.9171,43.527,17.0887,12.2
"Andhra Pradesh",Guntur,PMGSY-I,109,1,109,1,0,0,266.58,50.3647,273.22,49.8978,0
"Andhra Pradesh",Guntur,PMGSY-II,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
"Andhra Pradesh",Ntr,PMGSY-II,4,0,4,0,0,0,36.15,18.471,35.164,15.2381,0
"Andhra Pradesh",Ntr,PMGSY-III,6,2,4,0,2,2,47.028,28.8447,28.135,13.0383,17.338
"Andhra Pradesh",Palnadu,PMGSY-II,7,1,7,1,0,0,80.46,44.8013,79.551,42.3108,0
"Andhra Pradesh",Palnadu,PMGSY-III,15,4,12,0,3,4,102.686,116.83499,81.743,50.2511,17.53
"Andhra Pradesh","Parvathipuram Manyam",PMGSY-II,3,0,3,0,0,0,24.49,14.53,23.08,12.0531,0
"Andhra Pradesh",Srikakulam,PM-JANMAN,6,0,0,0,6,0,13.7,10.24,0,0,13.7
"Andhra Pradesh",Visakhapatnam,PMGSY-I,49,1,49,1,0,0,84.052,23.2047,79.283,20.176,0
"Andhra Pradesh","West Godavari",PMGSY-I,157,5,157,5,0,0,311.412,75.9481,303.043,55.5522,0
"Andhra Pradesh","Y S R Kadapa",PMGSY-I,151,8,151,8,0,0,467.465,129.9053,447.208,125.7078,0
"Arunachal Pradesh",Changlang,PMGSY-III,7,1,1,0,6,1,99.212,69.33035,6.3,3.3964,92.912
"Arunachal Pradesh","Dibang Valley",PMGSY-I,16,0,13,0,3,0,201.68,203.992,186.88,172.6155,14.8
"Arunachal Pradesh","Dibang Valley",PMGSY-II,9,0,9,0,0,0,51.81,46.95383,51.81,46.6464,0
"Arunachal Pradesh","East Siang",PMGSY-II,3,0,3,0,0,0,17.51,7.812,17.51,7.9531,0
"Arunachal Pradesh",Longding,PMGSY-I,70,0,69,0,1,0,632.946,365.2963,632.609,363.9976,0.2
"Arunachal Pradesh","Lower Dibang Valley",PMGSY-I,29,4,29,4,0,0,171.48,104.4418,171.48,97.4866,0
"Arunachal Pradesh","Lower Dibang Valley",PMGSY-II,4,0,4,0,0,0,18,8.82247,18,7.9,0
"Arunachal Pradesh","Lower Subansiri",PMGSY-III,12,3,7,2,5,1,83.17,79.9842,50.85,69.9539,31.78
"Arunachal Pradesh",Tirap,PMGSY-I,91,5,90,5,1,0,577.61,303.2083,572.34,301.937,2.75
"Arunachal Pradesh","Upper Subansiri",PMGSY-III,9,5,0,2,9,3,63.3,76.2592,27.7,36.3146,35.6
"Arunachal Pradesh","West Kameng",PMGSY-II,2,0,2,0,0,0,8.22,3.9595,8.19,4.348,0
"Arunachal Pradesh","West Siang",PMGSY-I,58,6,57,6,1,0,417.79,264.6555,399.43,259.4751,18.5
"Arunachal Pradesh","West Siang",PMGSY-II,4,0,4,0,0,0,21.05,17.2134,21.05,16.0836,0
Assam,Bongaigaon,PMGSY-III,10,0,10,0,0,0,64.54,37.19961,64.54,25.5568,0
Assam,Cachar,PMGSY-III,35,5,29,3,6,2,185.869,137.10955,160.883,108.5557,24.96
Assam,Chirang,PMGSY-I,140,45,140,45,0,0,531.319,456.52395,530.547,475.7645,0
Assam,Darrang,PMGSY-II,9,3,9,3,0,0,47.702,40.5783,47.702,42.76,0
Assam,Dhemaji,PMGSY-III,13,2,10,0,3,2,87.604,49.67692,72.93,34.8186,14.674
Assam,Dibrugarh,PMGSY-I,333,11,333,11,0,0,1015.233,514.56494,1009.482,566.4235,0
Assam,Dibrugarh,PMGSY-II,16,4,16,4,0,0,179.97,139.6455,179.92,143.5531,0
Assam,Dibrugarh,PMGSY-III,29,3,24,3,5,0,188.897,107.55336,157.77,86.4508,28.567
Assam,Goalpara,PMGSY-III,20,0,19,0,1,0,143.229,112.62448,142.249,106.8463,0.56
Assam,Hailakandi,PMGSY-II,2,0,2,0,0,0,17.3,14.218,17.3,14.1288,0
Assam,Jorhat,PMGSY-II,10,1,10,1,0,0,61.25,53.6937,61.25,54.5213,0
Assam,Jorhat,PMGSY-III,27,0,24,0,3,0,172.937,104.11161,152.472,88.1204,20.061
Assam,"Kamrup Rural",PMGSY-I,766,133,766,133,0,0,2220.377,1471.67112,2209.175,1618.4921,0
Assam,"Karbi Anglong",PMGSY-I,274,30,274,30,0,0,1206.485,742.48135,1198.393,788.8028,0
Assam,Karimganj,PMGSY-III,23,0,17,0,6,0,145.542,111.22492,117.749,85.215,27.705
Assam,Sonitpur,PMGSY-II,20,4,20,4,0,0,180.67,130.875,180.62,136.9289,0
Assam,Tinsukia,PMGSY-I,354,28,354,28,0,0,1319.943,757.55064,1310.572,822.9212,0
Assam,Tinsukia,PMGSY-III,18,3,16,3,2,0,140.04,95.80004,137.78,88.2508,1.8
Bihar,Aurangabad,PMGSY-III,20,6,17,3,3,3,167.826,128.92501,156.746,61.9455,11.075
Bihar,Banka,RCPLWEA,11,16,11,16,0,0,183.075,272.19727,181.293,217.7329,0
Bihar,Begusarai,PMGSY-I,258,7,257,7,1,0,747.741,410.38037,724.06,298.7958,0.07
